site,setup_url,priority,type,anchor,label,target_url,description,status,notes
Facebook Page - connect Instagram,https://www.facebook.com/help/135275340210354,P1,entity tie-in,Connected Instagram,Instagram connection,https://www.instagram.com/,Todo,"Connect final IG business profile."
Instagram - professional account,https://www.facebook.com/help/instagram/138925576505882,P1,profile link,@sharkbrandingsolutions,Instagram professional account,https://sharkbrandingsolutions.com/,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Use branded handle if available."
YouTube - brand channel,https://support.google.com/youtube/answer/1646861?hl=en,P1,profile/content link,Shark Branding Solutions,YouTube channel,https://sharkbrandingsolutions.com/ai-resources,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Point channel links to /ai-resources and homepage."
Pinterest - business account,https://help.pinterest.com/en/business/article/get-a-business-account,P2,profile link,Shark Branding Solutions,Pinterest business account,https://sharkbrandingsolutions.com/ai-resources,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Best if repurposing resources/workshop visuals."
TikTok - account creation,https://support.tiktok.com/en/getting-started/creating-an-account?lang=en,P2,profile link,@sharkbrandingsolutions,TikTok account,https://sharkbrandingsolutions.com/,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Create branded handle first."
TikTok - business account setup,https://support.tiktok.com/en/en/business-and-creator/tiktok-for-business,P2,profile/entity,Business Account,TikTok business account,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Switch to business account after creation."
Yelp - claim page,https://biz.yelp.com/support-center/Yelp_Business_Page/Getting_Started/How-do-I-claim-a-business-page/en-US?irgwc=1,P2,citation/profile,Shark Branding Solutions,Yelp Business Page,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Complete all business info and services."
Yelp - optimize free page,https://business.yelp.com/products/business-page/,P2,profile link,Website,Yelp website link,https://sharkbrandingsolutions.com/,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Upload photos and complete categories."
BBB - free listing / claim,https://www.bbb.org/get-listed,P2,trust profile,Shark Branding Solutions,BBB Business Profile,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Strong trust/entity source."
BBB - enhanced profile options,https://www.bbb.org/business,P2,trust/entity,Website,BBB profile CTA,https://sharkbrandingsolutions.com/free-report,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Use /free-report if profile supports CTA."
Nextdoor - Business Page,https://business.nextdoor.com/en-us/getting-started/business-page?hsLang=en,P2,local profile,Shark Branding Solutions,Nextdoor Business Page,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Good local trust source."
Foursquare - business listings,https://foursquare.com/products/business-listings/,P2,citation/profile,Shark Branding Solutions,Foursquare listing,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Keep hours and URL current."
Foursquare - claim page,https://business.foursquare.com/claim/?new_search=true,P2,citation/profile,Claim my business,Foursquare claim,https://sharkbrandingsolutions.com/,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Claim existing listing if present."
Alignable - company/network profile,https://www.alignable.com/?ln=en,P3,profile/network,Shark Branding Solutions,Alignable profile,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Useful for networking and entity consistency."
Medium - publication or profile,https://help.medium.com/hc/en-us/articles/115004681607-Getting-started-with-a-Medium-publication,P3,content/profile link,Shark Branding Solutions,Medium publication,https://sharkbrandingsolutions.com/ai-resources,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Republish shortened resources with attribution."
